YEAR,COW,PHYSINT,DISAP,KILL,POLPRIS,TORT,INJUD
2010,771,2,1,0,1,0,0
1981,53,,,,,,2
1982,53,,,,,,2
1983,53,,,,,,2
1984,53,,,,,,2
1985,53,,,,,,2
1986,53,,,,,,2
1987,53,,,,,,2
1988,53,,,,,,2
1989,53,,,,,,2
1990,53,,,,,,2
1991,53,,,,,,2
1992,53,,,,,,2
1993,53,,,,,,2
1994,53,,,,,,2
1995,53,,,,,,2
1996,53,,,,,,2
1997,53,,,,,,2
1998,53,,,,,,2
1999,53,,,,,,2
2000,53,,,,,,2
2001,53,7,2,2,2,1,2
2002,53,,,,,,2
2003,53,7,2,2,2,1,2
2004,53,7,2,2,2,1,2
2005,53,7,2,2,2,1,2
2006,53,6,2,1,2,1,2
2007,53,7,2,2,2,1,2
2008,53,6,2,2,1,1,2
2009,53,7,2,2,2,1,2
2010,53,7,2,2,2,1,2
1981,370,,,,,,
1982,370,,,,,,
1983,370,,,,,,
1984,370,,,,,,
1985,370,,,,,,
1986,370,,,,,,
1987,370,,,,,,
1988,370,,,,,,
1989,370,,,,,,
1990,370,,,,,,
1991,370,,,,,,
1992,370,5,2,1,2,0,0
1993,370,7,2,2,2,1,1
1994,370,7,2,2,2,1,0
1995,370,5,2,2,1,0,0
1996,370,4,2,2,0,0,0
1997,370,5,2,2,1,0,0
1998,370,4,2,2,0,0,0
1999,370,5,2,2,1,0,0
2000,370,4,1,2,0,1,0
2001,370,5,2,2,1,0,0
2002,370,5,2,2,1,0,0
2003,370,5,2,2,1,0,0
2004,370,3,2,1,0,0,0
2005,370,5,2,1,1,1,0
2006,370,4,2,2,0,0,0
2007,370,4,2,2,0,0,0
2008,370,4,2,2,0,0,0
2009,370,3,1,2,0,0,0
2010,370,2,1,1,0,0,0
1981,211,8,2,2,2,2,2
1982,211,8,2,2,2,2,2
1983,211,8,2,2,2,2,2
1984,211,8,2,2,2,2,2
1985,211,8,2,2,2,2,2
1986,211,8,2,2,2,2,2
1987,211,8,2,2,2,2,2
1988,211,8,2,2,2,2,2
1989,211,8,2,2,2,2,2
1990,211,8,2,2,2,2,2
1991,211,8,2,2,2,2,2
1992,211,8,2,2,2,2,2
1993,211,8,2,2,2,2,2
1994,211,8,2,2,2,2,2
1995,211,8,2,2,2,2,2
1996,211,8,2,2,2,2,2
1997,211,8,2,2,2,2,2
1998,211,7,2,2,2,1,2
1999,211,7,2,2,2,1,2
2000,211,8,2,2,2,2,2
2001,211,7,2,2,2,1,2
2002,211,8,2,2,2,2,2
2003,211,8,2,2,2,2,2
2004,211,7,2,2,2,1,2
2005,211,8,2,2,2,2,2
2006,211,8,2,2,2,2,2
2007,211,8,2,2,2,2,2
2008,211,7,2,2,2,1,2
2009,211,7,2,2,2,1,2
2010,211,7,2,2,2,1,2
1981,80,8,2,2,2,2,2
1982,80,8,2,2,2,2,2
1983,80,8,2,2,2,2,2
1984,80,7,2,2,2,1,2
1985,80,8,2,2,2,2,2
1986,80,8,2,2,2,2,2
1987,80,7,2,2,2,1,2
1988,80,8,2,2,2,2,2
1989,80,8,2,2,2,2,2
1990,80,7,2,2,2,1,2
1991,80,8,2,2,2,2,1
1992,80,8,2,2,2,2,1
1993,80,6,2,1,2,1,1
1994,80,7,2,2,2,1,1
1995,80,7,2,2,2,1,1
1996,80,7,2,2,2,1,1
1997,80,7,2,2,2,1,1
1998,80,7,2,2,2,1,1
1999,80,7,2,2,2,1,1
2000,80,5,2,1,2,0,1
2001,80,7,2,2,2,1,1
2002,80,6,2,1,2,1,2
2003,80,6,2,1,2,1,2
2004,80,5,2,1,2,0,2
2005,80,5,2,1,2,0,2
2006,80,6,2,2,2,0,2
2007,80,7,2,2,2,1,2
2008,80,6,2,1,2,1,2
2009,80,6,2,1,2,1,2
2010,80,6,2,1,2,1,2
1981,434,5,2,2,0,1,0
1982,434,7,2,2,1,2,0
1983,434,6,2,2,1,1,0
1984,434,6,2,2,1,1,1
1985,434,4,2,2,0,0,2
1986,434,6,2,2,1,1,2
1987,434,4,2,1,0,1,1
1988,434,3,2,1,0,0,0
1989,434,5,2,2,0,1,0
1990,434,8,2,2,2,2,1
1991,434,8,2,2,2,2,2
1992,434,6,2,2,1,1,2
1993,434,8,2,2,2,2,1
1994,434,6,2,2,1,1,1
1995,434,8,2,2,2,2,1
1996,434,8,2,2,2,2,1
1997,434,8,2,2,2,2,1
1998,434,7,2,1,2,2,1
1999,434,8,2,2,2,2,1
2000,434,7,2,2,2,1,1
2001,434,7,2,2,2,1,1
2002,434,7,2,2,2,1,1
2003,434,6,2,2,2,0,1
2004,434,7,2,2,2,1,1
2005,434,7,2,2,2,1,1
2006,434,6,2,2,1,1,0
