country	year	INGO_uia
Peru	1995	906
Peru	1996	952
Peru	1997	953
Peru	1998	961
Peru	1999	979
Brazil	1966	547
Brazil	1977	764
Brazil	1978	764
Brazil	1979	764
Brazil	1980	764
Brazil	1981	764
Brazil	1982	1038
Brazil	1983	1066
Brazil	1984	1118
Brazil	1985	1118
Brazil	1986	1066
Brazil	1987	1190
Brazil	1988	1283
Brazil	1989	1362
Brazil	1990	1426
Brazil	1991	1456
Brazil	1992	1493
Brazil	1993	1515
Brazil	1994	1555
Brazil	1995	1561
Brazil	1996	1643
Brazil	1997	1690
Brazil	1998	1736
Brazil	1999	1779
Bolivia	1966	188
Bolivia	1977	280
Bolivia	1978	280
Bolivia	1979	280
Bolivia	1980	280
Bolivia	1981	280
Bolivia	1982	404
Bolivia	1983	413
Bolivia	1984	438
Bolivia	1985	438
Bolivia	1986	419
Bolivia	1987	450
Bolivia	1988	476
Bolivia	1989	489
Bolivia	1990	518
Bolivia	1991	542
Bolivia	1992	558
Bolivia	1993	580
Bolivia	1994	587
Bolivia	1995	595
Bolivia	1996	612
Bolivia	1997	613
Bolivia	1998	627
Bolivia	1999	650
Paraguay	1966	162
Paraguay	1977	232
Paraguay	1978	232
Paraguay	1979	232
Paraguay	1980	232
Paraguay	1981	232
Paraguay	1982	306
Paraguay	1983	313
Paraguay	1984	337
Paraguay	1985	337
Paraguay	1986	330
Paraguay	1987	357
Paraguay	1988	373
Paraguay	1989	400
Paraguay	1990	423
Paraguay	1991	435
Paraguay	1992	450
Paraguay	1993	461
Paraguay	1994	481
Paraguay	1995	488
Paraguay	1996	523
Paraguay	1997	461
Paraguay	1998	551
Paraguay	1999	555
Chile	1966	412
Chile	1977	520
Chile	1978	520
Chile	1979	520
Chile	1980	520
Chile	1981	520
Chile	1982	712
Chile	1983	733
Chile	1984	779
Chile	1985	779
Chile	1986	737
Chile	1987	816
Chile	1988	853
Chile	1989	896
Chile	1990	931
Chile	1991	970
Chile	1992	1016
Chile	1993	1048
Chile	1994	1088
Chile	1995	1117
Chile	1996	1170
Chile	1997	1186
Chile	1998	1219
Chile	1999	1245
Argentina	1966	591
Argentina	1977	745
Argentina	1978	745
Argentina	1979	745
Argentina	1980	745
Argentina	1981	745
Argentina	1982	1019
Argentina	1983	1033
Argentina	1984	1083
Argentina	1985	1083
Argentina	1986	1023
Argentina	1987	1133
Argentina	1988	1221
Argentina	1989	1292
Argentina	1990	1328
Argentina	1991	1367
Argentina	1992	1393
Argentina	1993	1436
Argentina	1994	1468
Argentina	1995	1485
Argentina	1996	1542
Argentina	1997	1568
Argentina	1998	1618
Argentina	1999	1651
Uruguay	1966	324
Uruguay	1977	430
Uruguay	1978	430
Uruguay	1979	430
Uruguay	1980	430
Uruguay	1981	430
Uruguay	1982	545
Uruguay	1983	553
Uruguay	1984	573
Uruguay	1985	573
Uruguay	1986	562
Uruguay	1987	604
Uruguay	1988	656
Uruguay	1989	698
Uruguay	1990	730
Uruguay	1991	759
Uruguay	1992	795
Uruguay	1993	810
Uruguay	1994	828
Uruguay	1995	830
Uruguay	1996	871
Uruguay	1997	892
Uruguay	1998	897
Uruguay	1999	913
United Kingdom	1966	1039
United Kingdom	1977	1380
United Kingdom	1978	1380
United Kingdom	1979	1380
United Kingdom	1980	1380
United Kingdom	1981	1380
United Kingdom	1982	1930
United Kingdom	1983	1959
United Kingdom	1984	2100
United Kingdom	1985	2021
United Kingdom	1986	1607
United Kingdom	1987	2091
United Kingdom	1988	2283
United Kingdom	1989	2416
United Kingdom	1990	2524
United Kingdom	1991	2590
United Kingdom	1992	2681
United Kingdom	1993	2780
United Kingdom	1994	2846
United Kingdom	1995	2918
United Kingdom	1996	3031
United Kingdom	1997	3125
United Kingdom	1998	3227
United Kingdom	1999	3321
Ireland	1966	371
Ireland	1977	630
Ireland	1978	630
Ireland	1979	630
Ireland	1980	630
Ireland	1981	630
Ireland	1982	1008
Ireland	1983	1031
Ireland	1984	1063
Ireland	1985	1063
Ireland	1986	1036
Ireland	1987	1167
Ireland	1988	1246
Ireland	1989	1327
Ireland	1990	1383
Ireland	1991	1448
Ireland	1992	1507
Ireland	1993	1558
Ireland	1994	1637
Ireland	1995	1700
Ireland	1996	1778
Ireland	1997	1842
Ireland	1998	1883
Ireland	1999	1958
Netherlands	1966	1081
Netherlands	1977	1318
Netherlands	1978	1318
Netherlands	1979	1318
Netherlands	1980	1318
Netherlands	1981	1318
Netherlands	1982	1908
Netherlands	1983	1930
Netherlands	1984	1977
Netherlands Antill	1984	138
Netherlands	1985	1977
